task_id,task_number,group_id,group_pos,neighbor_rank,neighbor_task_id,neighbor_task_number,neighbor_group_id,neighbor_group_pos,similarity
"task_0001","1.1","1_001","1","1","task_0003","1.3","1_001","3","0.479579"
"task_0001","1.1","1_001","1","2","task_0002","1.2","1_001","2","0.211367"
"task_0001","1.1","1_001","1","3","task_0004","1.4","1_001","4","0.191736"
"task_0001","1.1","1_001","1","4","task_0127","1.127","1_032","3","0.08706"
"task_0001","1.1","1_001","1","5","task_0177","1.177","1_045","1","0.076"
"task_0001","1.1","1_001","1","6","task_0179","1.179","1_045","3","0.064869"
"task_0001","1.1","1_001","1","7","task_0148","1.148","1_037","4","0.057249"
"task_0001","1.1","1_001","1","8","task_0114","1.114","1_029","2","0.055175"
"task_0001","1.1","1_001","1","9","task_0052","1.52","1_013","4","0.055085"
"task_0001","1.1","1_001","1","10","task_0131","1.131","1_033","3","0.054598"
"task_0002","1.2","1_001","2","1","task_0004","1.4","1_001","4","0.268781"
"task_0002","1.2","1_001","2","2","task_0003","1.3","1_001","3","0.263053"
"task_0002","1.2","1_001","2","3","task_0001","1.1","1_001","1","0.211367"
"task_0002","1.2","1_001","2","4","task_0038","1.38","1_010","2","0.10454"
"task_0002","1.2","1_001","2","5","task_0177","1.177","1_045","1","0.080096"
"task_0002","1.2","1_001","2","6","task_0146","1.146","1_037","2","0.077635"
"task_0002","1.2","1_001","2","7","task_0179","1.179","1_045","3","0.074033"
"task_0002","1.2","1_001","2","8","task_0148","1.148","1_037","4","0.072322"
"task_0002","1.2","1_001","2","9","task_0127","1.127","1_032","3","0.064692"
"task_0002","1.2","1_001","2","10","task_0040","1.40","1_010","4","0.061986"
"task_0003","1.3","1_001","3","1","task_0001","1.1","1_001","1","0.479579"
"task_0003","1.3","1_001","3","2","task_0002","1.2","1_001","2","0.263053"
"task_0003","1.3","1_001","3","3","task_0004","1.4","1_001","4","0.161044"
"task_0003","1.3","1_001","3","4","task_0148","1.148","1_037","4","0.076075"
"task_0003","1.3","1_001","3","5","task_0127","1.127","1_032","3","0.071973"
"task_0003","1.3","1_001","3","6","task_0179","1.179","1_045","3","0.066158"
"task_0003","1.3","1_001","3","7","task_0146","1.146","1_037","2","0.065569"
"task_0003","1.3","1_001","3","8","task_0010","1.10","1_003","2","0.062038"
"task_0003","1.3","1_001","3","9","task_0149","1.149","1_038","1","0.060151"
"task_0003","1.3","1_001","3","10","task_0177","1.177","1_045","1","0.059763"
"task_0004","1.4","1_001","4","1","task_0002","1.2","1_001","2","0.268781"
"task_0004","1.4","1_001","4","2","task_0001","1.1","1_001","1","0.191736"
"task_0004","1.4","1_001","4","3","task_0003","1.3","1_001","3","0.161044"
"task_0004","1.4","1_001","4","4","task_0127","1.127","1_032","3","0.085088"
"task_0004","1.4","1_001","4","5","task_0038","1.38","1_010","2","0.064802"
"task_0004","1.4","1_001","4","6","task_0177","1.177","1_045","1","0.060423"
"task_0004","1.4","1_001","4","7","task_0146","1.146","1_037","2","0.050969"
"task_0004","1.4","1_001","4","8","task_0179","1.179","1_045","3","0.050282"
"task_0004","1.4","1_001","4","9","task_0040","1.40","1_010","4","0.050193"
"task_0004","1.4","1_001","4","10","task_0147","1.147","1_037","3","0.046069"
"task_0005","1.5","1_002","1","1","task_0008","1.8","1_002","4","0.186116"
"task_0005","1.5","1_002","1","2","task_0087","1.87","1_022","3","0.154452"
"task_0005","1.5","1_002","1","3","task_0040","1.40","1_010","4","0.150209"
"task_0005","1.5","1_002","1","4","task_0007","1.7","1_002","3","0.137584"
"task_0005","1.5","1_002","1","5","task_0137","1.137","1_035","1","0.136046"
"task_0005","1.5","1_002","1","6","task_0116","1.116","1_029","4","0.120777"
"task_0005","1.5","1_002","1","7","task_0038","1.38","1_010","2","0.120212"
"task_0005","1.5","1_002","1","8","task_0105","1.105","1_027","1","0.111041"
"task_0005","1.5","1_002","1","9","task_0075","1.75","1_019","3","0.110452"
"task_0005","1.5","1_002","1","10","task_0069","1.69","1_018","1","0.108126"
"task_0006","1.6","1_002","2","1","task_0139","1.139","1_035","3","0.306761"
"task_0006","1.6","1_002","2","2","task_0007","1.7","1_002","3","0.298712"
"task_0006","1.6","1_002","2","3","task_0039","1.39","1_010","3","0.234766"
"task_0006","1.6","1_002","2","4","task_0126","1.126","1_032","2","0.210638"
"task_0006","1.6","1_002","2","5","task_0137","1.137","1_035","1","0.202251"
"task_0006","1.6","1_002","2","6","task_0125","1.125","1_032","1","0.200065"
"task_0006","1.6","1_002","2","7","task_0107","1.107","1_027","3","0.190475"
"task_0006","1.6","1_002","2","8","task_0105","1.105","1_027","1","0.169891"
"task_0006","1.6","1_002","2","9","task_0073","1.73","1_019","1","0.160799"
"task_0006","1.6","1_002","2","10","task_0069","1.69","1_018","1","0.156583"
"task_0007","1.7","1_002","3","1","task_0006","1.6","1_002","2","0.298712"
"task_0007","1.7","1_002","3","2","task_0073","1.73","1_019","1","0.240994"
"task_0007","1.7","1_002","3","3","task_0126","1.126","1_032","2","0.235952"
"task_0007","1.7","1_002","3","4","task_0069","1.69","1_018","1","0.210314"
"task_0007","1.7","1_002","3","5","task_0139","1.139","1_035","3","0.203601"
"task_0007","1.7","1_002","3","6","task_0056","1.56","1_014","4","0.189394"
"task_0007","1.7","1_002","3","7","task_0008","1.8","1_002","4","0.174106"
"task_0007","1.7","1_002","3","8","task_0039","1.39","1_010","3","0.171781"
"task_0007","1.7","1_002","3","9","task_0075","1.75","1_019","3","0.165654"
"task_0007","1.7","1_002","3","10","task_0054","1.54","1_014","2","0.154319"
"task_0008","1.8","1_002","4","1","task_0137","1.137","1_035","1","0.28202"
"task_0008","1.8","1_002","4","2","task_0005","1.5","1_002","1","0.186116"
"task_0008","1.8","1_002","4","3","task_0007","1.7","1_002","3","0.174106"
"task_0008","1.8","1_002","4","4","task_0087","1.87","1_022","3","0.161264"
"task_0008","1.8","1_002","4","5","task_0006","1.6","1_002","2","0.139864"
"task_0008","1.8","1_002","4","6","task_0126","1.126","1_032","2","0.126396"
"task_0008","1.8","1_002","4","7","task_0105","1.105","1_027","1","0.119075"
"task_0008","1.8","1_002","4","8","task_0139","1.139","1_035","3","0.11534"
"task_0008","1.8","1_002","4","9","task_0069","1.69","1_018","1","0.114919"
"task_0008","1.8","1_002","4","10","task_0073","1.73","1_019","1","0.112729"
"task_0009","1.9","1_003","1","1","task_0011","1.11","1_003","3","0.165454"
"task_0009","1.9","1_003","1","2","task_0058","1.58","1_015","2","0.135941"
"task_0009","1.9","1_003","1","3","task_0060","1.60","1_015","4","0.107569"
"task_0009","1.9","1_003","1","4","task_0057","1.57","1_015","1","0.060037"
"task_0009","1.9","1_003","1","5","task_0032","1.32","1_008","4","0.058925"
"task_0009","1.9","1_003","1","6","task_0010","1.10","1_003","2","0.056217"
"task_0009","1.9","1_003","1","7","task_0024","1.24","1_006","4","0.053649"
"task_0009","1.9","1_003","1","8","task_0087","1.87","1_022","3","0.051549"
"task_0009","1.9","1_003","1","9","task_0167","1.167","1_042","3","0.05137"
"task_0009","1.9","1_003","1","10","task_0145","1.145","1_037","1","0.051273"
"task_0010","1.10","1_003","2","1","task_0012","1.12","1_003","4","0.28209"
"task_0010","1.10","1_003","2","2","task_0092","1.92","1_023","4","0.126499"
"task_0010","1.10","1_003","2","3","task_0090","1.90","1_023","2","0.096739"
"task_0010","1.10","1_003","2","4","task_0061","1.61","1_016","1","0.082557"
"task_0010","1.10","1_003","2","5","task_0085","1.85","1_022","1","0.081579"
"task_0010","1.10","1_003","2","6","task_0087","1.87","1_022","3","0.077016"
"task_0010","1.10","1_003","2","7","task_0148","1.148","1_037","4","0.072797"
"task_0010","1.10","1_003","2","8","task_0146","1.146","1_037","2","0.063815"
"task_0010","1.10","1_003","2","9","task_0003","1.3","1_001","3","0.062038"
"task_0010","1.10","1_003","2","10","task_0088","1.88","1_022","4","0.061053"
"task_0011","1.11","1_003","3","1","task_0059","1.59","1_015","3","0.168747"
"task_0011","1.11","1_003","3","2","task_0009","1.9","1_003","1","0.165454"
"task_0011","1.11","1_003","3","3","task_0058","1.58","1_015","2","0.132145"
"task_0011","1.11","1_003","3","4","task_0057","1.57","1_015","1","0.119282"
"task_0011","1.11","1_003","3","5","task_0029","1.29","1_008","1","0.085482"
"task_0011","1.11","1_003","3","6","task_0031","1.31","1_008","3","0.081549"
"task_0011","1.11","1_003","3","7","task_0060","1.60","1_015","4","0.080839"
"task_0011","1.11","1_003","3","8","task_0034","1.34","1_009","2","0.075344"
"task_0011","1.11","1_003","3","9","task_0267","2.79","2_020","3","0.072198"
"task_0011","1.11","1_003","3","10","task_0065","1.65","1_017","1","0.069002"
"task_0012","1.12","1_003","4","1","task_0010","1.10","1_003","2","0.28209"
"task_0012","1.12","1_003","4","2","task_0090","1.90","1_023","2","0.150384"
"task_0012","1.12","1_003","4","3","task_0092","1.92","1_023","4","0.116374"
"task_0012","1.12","1_003","4","4","task_0576","4.12","4_003","4","0.092756"
"task_0012","1.12","1_003","4","5","task_0575","4.11","4_003","3","0.056566"
"task_0012","1.12","1_003","4","6","task_0048","1.48","1_012","4","0.055562"
"task_0012","1.12","1_003","4","7","task_0031","1.31","1_008","3","0.054841"
"task_0012","1.12","1_003","4","8","task_0061","1.61","1_016","1","0.051994"
"task_0012","1.12","1_003","4","9","task_0047","1.47","1_012","3","0.04878"
"task_0012","1.12","1_003","4","10","task_0689","4.125","4_032","1","0.047641"
"task_0013","1.13","1_004","1","1","task_0015","1.15","1_004","3","0.761379"
"task_0013","1.13","1_004","1","2","task_0016","1.16","1_004","4","0.184558"
"task_0013","1.13","1_004","1","3","task_0014","1.14","1_004","2","0.183206"
"task_0013","1.13","1_004","1","4","task_0039","1.39","1_010","3","0.131847"
"task_0013","1.13","1_004","1","5","task_0137","1.137","1_035","1","0.113875"
"task_0013","1.13","1_004","1","6","task_0171","1.171","1_043","3","0.112096"
"task_0013","1.13","1_004","1","7","task_0126","1.126","1_032","2","0.104304"
"task_0013","1.13","1_004","1","8","task_0125","1.125","1_032","1","0.102909"
"task_0013","1.13","1_004","1","9","task_0149","1.149","1_038","1","0.10188"
"task_0013","1.13","1_004","1","10","task_0157","1.157","1_040","1","0.084521"
"task_0014","1.14","1_004","2","1","task_0016","1.16","1_004","4","0.821391"
"task_0014","1.14","1_004","2","2","task_0015","1.15","1_004","3","0.196999"
"task_0014","1.14","1_004","2","3","task_0013","1.13","1_004","1","0.183206"
"task_0014","1.14","1_004","2","4","task_0139","1.139","1_035","3","0.169193"
"task_0014","1.14","1_004","2","5","task_0073","1.73","1_019","1","0.147111"
"task_0014","1.14","1_004","2","6","task_0069","1.69","1_018","1","0.145917"
"task_0014","1.14","1_004","2","7","task_0125","1.125","1_032","1","0.138441"
"task_0014","1.14","1_004","2","8","task_0157","1.157","1_040","1","0.128491"
"task_0014","1.14","1_004","2","9","task_0007","1.7","1_002","3","0.126418"
"task_0014","1.14","1_004","2","10","task_0159","1.159","1_040","3","0.114566"
"task_0015","1.15","1_004","3","1","task_0013","1.13","1_004","1","0.761379"
"task_0015","1.15","1_004","3","2","task_0016","1.16","1_004","4","0.198407"
"task_0015","1.15","1_004","3","3","task_0014","1.14","1_004","2","0.196999"
"task_0015","1.15","1_004","3","4","task_0039","1.39","1_010","3","0.143051"
"task_0015","1.15","1_004","3","5","task_0171","1.171","1_043","3","0.123481"
"task_0015","1.15","1_004","3","6","task_0137","1.137","1_035","1","0.122727"
"task_0015","1.15","1_004","3","7","task_0126","1.126","1_032","2","0.113642"
"task_0015","1.15","1_004","3","8","task_0125","1.125","1_032","1","0.112122"
"task_0015","1.15","1_004","3","9","task_0149","1.149","1_038","1","0.108965"
"task_0015","1.15","1_004","3","10","task_0121","1.121","1_031","1","0.10059"
"task_0016","1.16","1_004","4","1","task_0014","1.14","1_004","2","0.821391"
"task_0016","1.16","1_004","4","2","task_0015","1.15","1_004","3","0.198407"
"task_0016","1.16","1_004","4","3","task_0013","1.13","1_004","1","0.184558"
"task_0016","1.16","1_004","4","4","task_0139","1.139","1_035","3","0.167464"
"task_0016","1.16","1_004","4","5","task_0073","1.73","1_019","1","0.150784"
"task_0016","1.16","1_004","4","6","task_0069","1.69","1_018","1","0.149561"
"task_0016","1.16","1_004","4","7","task_0125","1.125","1_032","1","0.136145"
"task_0016","1.16","1_004","4","8","task_0157","1.157","1_040","1","0.131699"
"task_0016","1.16","1_004","4","9","task_0007","1.7","1_002","3","0.129574"
"task_0016","1.16","1_004","4","10","task_0159","1.159","1_040","3","0.117427"
"task_0017","1.17","1_005","1","1","task_0019","1.19","1_005","3","0.602224"
"task_0017","1.17","1_005","1","2","task_0138","1.138","1_035","2","0.14772"
"task_0017","1.17","1_005","1","3","task_0188","1.188","1_047","4","0.146927"
"task_0017","1.17","1_005","1","4","task_0139","1.139","1_035","3","0.134112"
"task_0017","1.17","1_005","1","5","task_0140","1.140","1_035","4","0.107242"
"task_0017","1.17","1_005","1","6","task_0027","1.27","1_007","3","0.100595"
"task_0017","1.17","1_005","1","7","task_0097","1.97","1_025","1","0.098965"
"task_0017","1.17","1_005","1","8","task_0049","1.49","1_013","1","0.09743"
"task_0017","1.17","1_005","1","9","task_0047","1.47","1_012","3","0.095889"
"task_0017","1.17","1_005","1","10","task_0075","1.75","1_019","3","0.094803"
"task_0018","1.18","1_005","2","1","task_0020","1.20","1_005","4","0.530141"
"task_0018","1.18","1_005","2","2","task_0064","1.64","1_016","4","0.157953"
"task_0018","1.18","1_005","2","3","task_0066","1.66","1_017","2","0.064138"
"task_0018","1.18","1_005","2","4","task_0170","1.170","1_043","2","0.060969"
"task_0018","1.18","1_005","2","5","task_0082","1.82","1_021","2","0.053428"
"task_0018","1.18","1_005","2","6","task_0036","1.36","1_009","4","0.050229"
"task_0018","1.18","1_005","2","7","task_0363","3.16","3_004","4","0.048891"
"task_0018","1.18","1_005","2","8","task_0185","1.185","1_047","1","0.048347"
"task_0018","1.18","1_005","2","9","task_0010","1.10","1_003","2","0.047734"
"task_0018","1.18","1_005","2","10","task_0186","1.186","1_047","2","0.046711"
"task_0019","1.19","1_005","3","1","task_0017","1.17","1_005","1","0.602224"
"task_0019","1.19","1_005","3","2","task_0138","1.138","1_035","2","0.124688"
"task_0019","1.19","1_005","3","3","task_0139","1.139","1_035","3","0.121739"
