task_id,task_number,section_id,task_index_in_section,page_start,page_end,raw_text
"task_0001","1.1","1","1","2","2","1.1. Сани с седоком и собакой общей массой М съезжают с постоян-
ной скоростью vp с горы (рис. 1.1), имеющей уклон а (cos а = 6/7).
Собака массой т спрыгивает с саней по ходу их движения и приземля-
ется, имея скорость у, направленную под углом В (созВ = 3/7) к гори-
зонту. Сани после этого продолжают двигаться по горе вниз. Найти
скорость саней с седоком после прыжка собаки. (Билет 1, 1991)
7х у
м ¥
~ < 7
% \ a р 4
`В vi
a
| се
У
Рис. 1.1. Рис. 1.2."
"task_0002","1.2","1","2","2","2","1.2. Мальчик массой т съезжает на санках массой М с постоянной
скоростью v, (рис. 1.2) с горы, имеющей уклон a (cos а = 8/9). Другой
мальчик такой же массы т бежит за санками и запрыгивает в них,
имея в начале прыжка скорость, направленную под углом у
(cos у = 7/9) к горизонту. В результате этого санки с мальчиками дви-
жутся по горе со скоростью v,. Найти скорость прыгнувшего мальчика
в начале прыжка. (Билет 2, 1991)"
"task_0003","1.3","1","3","2","2","1.3. С горы с уклоном а (соза = 5/6) съезжают с постоянной ско-
ростью сани с седоком общей массой М. Навстречу саням бежит и
запрыгивает в них собака массой т, имеющая при прыжке в момент
отрыва от поверхности горы скорость v, направленную под углом В
(созВ = 2/3) к горизонту (рис. 1.3). В результате этого сани продол-
жают двигаться по горе вниз со скоростью и. Найти скорость саней
до прыжка собаки. (Билет 3, 1991)

„==“ --
=” ‘yw и aN
в ' `
У Y
а а у
Рис. 1.3. Рис. 1.4."
"task_0004","1.4","1","4","2","2","1.4. Девочка со снежным комом в руках съезжает на санках с
постоянной скоростью и, с горы, имеющей уклон a (соза = 7/8).
Снежный ком выбрасывается через голову в направлении, обратном
движению (рис. 1.4), и падает на склон горы, имея скорость v, на-
правленную под углом у (cos у = 3/4) к горизонту. В результате этого"
"task_0005","1.5","1","5","3","3","1.5. Тележка и ящик с равными массами удерживаются упором А

(рис. 1.5) на поверхности горки, наклоненной под углом а (tga = 0,4)
к горизонту. Упор убирают, ящик и тележка при-
ходят в движение. Во сколько раз при этом

м уменьшается сила давления тележки на ящик?

Коэффициент трения скольжения между ящиком

Рис. 1.5. и поверхностью горки в. = 0,2. Соприкасающиеся

поверхности стенок ящика и тележки считать гладкими и расположен-
ными перпендикулярно поверхности горки. (Билет 5, 1991)” ‘"
"task_0006","1.6","1","6","3","3","1.6. На наклонной плоскости (рис. 1.6) с углом наклона а = 60° не-
подвижно удерживают доску. На верхней гладкой поверхности доски
лежит брусок, прикрепленный с помощью нити к гвоздю, вбитому в
доску. Нить параллельна наклонной плоскости. Если доску отпустить,
то она начинает скользить по наклонной плоскости, и сила натяжения
нити уменьшается в 10 раз. Найти значение коэффициента трения
скольжения между доской и наклонной плоскостью. (Билет 6, 1991)

Рис. 1.6. Рис. 1.7. Рис. 1.8."
"task_0007","1.7","1","7","3","3","1.7. Брусок и тележка с равными массами связаны легкой нитью
(рис. 1.7) и удерживаются неподвижно за брусок на наклонной пло-
скости с углом наклона а (tga = 3/7). Брусок отпускают. Система
приходит в движение, и сила натяжения нити уменьшается в 3 раза.
Найти коэффициент трения скольжения бруска о наклонную плоско-
сть. Нить параллельна наклонной плоскости. (Билет 7, 1991)"
"task_0008","1.8","1","8","3","3","1.8. Ящик прямоугольной формы с шаром удерживается на на-
клонной плоскости с углом наклона а = 30° (рис. 1.8). Ящик отпуска-
ют, и он начинает скользить. Во сколько раз уменьшится сила давле-
ния шара на переднюю стенку ящика? Внутренние поверхности ящика
гладкие. Коэффициент трения скольжения ящика о наклонную пло-
скость и = 0,25. (Билет 8, 1991)"
"task_0009","1.9","1","9","3","3","1.9. Космический аппарат массы М = 40 кг движется по круговой
орбите радиуса К = 6800 км вокруг Марса. В аппарат попадает и
застревает в нем метеорит, летевший со скоростью У = 50 км/с пер-
пендикулярно направлению движения аппарата. При какой массе
метеорита отклонение в направлении движения аппарата не превы-"
"task_0010","1.10","1","10","4","4","1.10. После разрыва неподвижного снаряда образовались четыре
осколка. Осколок массы т, = 4 кг полетел вертикально вниз со ско-
ростью v, = 150 м/с, осколок массы т, = 3 кг — горизонтально на юг
со скоростью v, = 100 м/с, осколок массы тз = 1 кг — горизонтально
на восток. Осколок массы т. = 3,5 кг — полетел со скоростью
v4 = 200 м/с. Найти скорость осколка с массой тз. (Билет 10, 1991)"
